Total cases (4/14/2020),Deaths (4/14/2020),Population (for demographic %'s),% less than 18 years of age,% 65 and over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Female,% Rural,Population Density per Square mile of Land (2010),Housing Density Per Square Mile of Land,Avg Daily March 2011 Sunlight (KJ/m?) Missing HI and AK,GDP 2018,"Percentage Living in Poverty, All Ages, 2016",% Unemployed,% Children in Poverty,Income Inequality Ratio (80th%/20th%),Social Association Rate,Air pollution: Average Daily PM2.5,Presence of Drinking Water Violation,% Severe Housing Problems,% Fair or Poor Health,Average Number of Physically Unhealthy Days,% Smokers (adults),% Adults with Obesity,% Physically Inactive,% With Access to Exercise Opportunities,Chronic Respiratory Disease: mortality rate per 100K (2014),Avg Temp 10 Before First-Current,Stay At Home Order After First Case
78,7,102501,21.4602784,19.0115218,15.4837514,0.60877455,0.8312114,0.31024088,4.01557058,77.6860714,51.5585214,37.4834818,195.2,88.7,17058.36,2803470,17.5,4.10246891,28.8,4.7114964,15.7656562,11.5,No,11.222166,21.4838641,4.91902169,20.1473986,35.5,34.1,49.4943982,97.44,16.36333333,1
4,0,16433,21.1282176,21.1282176,11.8541958,0.46856934,0.43814276,0,1.80733889,84.1538368,51.1775087,80.2331651,27.5,13.4,17560.76,331837,20.3,4.11909904,37.4,4.9304376,7.89409764,10.6,Yes,12.3357664,22.1993439,4.92753119,18.0015933,41,33.7,34.1627516,86.07,15.54230769,1
12,1,31363,24.5352804,16.8861397,3.88355706,1.54640819,0.34116634,0.2487007,17.7502152,76.1757485,49.5488314,70.3665153,50,22.1,16434.79,886031,20.1,3.731606,30.1,4.40144833,9.52532148,10.5,No,12.954254,25.3680215,5.21658795,19.250583,34.3,38.1,58.1472369,104.32,15.59090909,1
1,0,26314,21.9198906,20.2971802,9.31443338,1.02606977,0.34202326,0.0722,4.04347496,83.6816904,51.1818804,89.6416573,46.6,22.1,19379.02,519624,20.9,3.92590545,29.5,4.981862,8.70519662,10.6,No,10.1830127,23.0846693,5.02050315,20.0036033,38.7,36.8,20.2053005,78.8,19.28235294,0
18,0,8233,22.1668894,22.3126442,79.6064618,0.3279485,0.2672173,0,1.66403498,17.5270254,52.7875623,100,14,7.7,18276.44,235854,34,6.73009161,44,5.87781489,9.60384154,10.5,No,19.3236715,33.9851556,5.93478765,24.6328187,35.5,18.3,6.22443339,57.38,18.05517241,1
17,0,14726,23.0476708,19.2109195,57.8025261,0.25125628,0.28520983,0.0136,1.35814206,39.7256553,52.4107022,89.1687817,24.5,11.9,18227.95,280041,23.7,5.09096979,35.6,6.36201127,6.07615447,10.8,No,16.5546219,27.9025703,5.4154381,22.0772913,40.4,27.8,29.8984772,61.15,17.67692308,1
14,0,17209,20.611308,22.7206694,25.8295078,0.4939276,0.37189843,0.0232,2.67301993,69.3183799,51.769423,87.7528609,30.8,15.8,18734.53,327713,18.7,4.43393438,27.2,4.89838239,13.9966175,10.9,No,10.6881406,21.4192621,4.69667374,18.4298454,36.3,35.4,25.3092128,71.04,18.08181818,1
52,2,104722,23.0324096,17.7985524,26.9198449,0.5404786,1.0599492,0.0945,3.43862799,66.3184431,51.9814366,33.8040513,175.1,78.2,19185.95,4349489,19.4,4.04208195,21.9,5.14159149,11.9793763,10.7,No,13.4510352,20.2697971,4.66568897,19.2497828,38.1,30.6,66.5445557,66.9,20.64242424,1
29,2,51736,20.88681,20.0498686,3.41348384,1.68161435,0.58566569,0.11017473,2.95345601,89.0675738,50.9239215,77.0173033,49.4,23,16127.84,1319359,17.5,4.10911751,26.8,5.04058326,9.05430658,11,No,10.804713,23.2447618,5.0329274,19.9589209,38.7,29.1,47.1903357,94.69,14.76111111,1
620,16,659300,22.762172,15.8572729,43.1260428,0.28697103,1.77096921,0.057,3.98088882,49.6998332,52.7391173,9.83376515,592.5,270.5,17939.18,41774355,15.3,3.71161795,22.6,5.34029851,14.4418133,13.4,No,16.7624869,19.6963021,4.41088977,17.6220453,34.6,30.1,78.62775,59.24,17.06046512,1
8,0,13844,21.3883271,21.6555909,10.3943947,0.28893383,0.10112684,0.0144,1.69026293,85.9722624,51.1196186,100,24.1,12.2,17241.8,296054,18.6,3.81052264,25.3,5.04925383,7.88756633,10.3,No,10.6489185,24.255311,5.21048595,20.430552,35.7,36.5,10.3131008,89.17,15.69722222,1
22,4,92387,19.6651044,20.0926537,9.89316679,0.45136221,0.76634159,0.0563,2.86187451,84.6049769,52.0203059,49.2951062,138.8,65.6,16113.65,2467086,15.2,4.19069315,17.9,4.52324292,14.8047289,11,No,12.5912409,20.1258334,4.66864198,16.6560043,32.5,28.5,65.4920234,75.94,14.18055556,1
8,0,32957,21.5887368,18.6637133,10.8322966,5.80453318,0.23363777,0.0212,2.22714446,76.3843797,51.3092818,91.2897871,49.7,22,16346.49,563208,16.8,4.18851929,31.4,4.90154902,13.6161457,11.3,No,10.6231231,21.8338031,4.88277199,20.1876462,32.6,36.4,48.985119,92.36,15.78,1
265,11,163941,21.2838765,11.8829335,22.7770966,0.37269506,4.19419181,0.0903,3.75988923,67.4761042,50.8121824,27.409499,230.8,102.7,18307.78,6013577,18.3,3.62070351,19.3,6.33657671,8.04435534,12.1,Yes,19.2314335,21.4639078,4.49092766,17.5601404,29.9,21.3,67.7490428,74.45,17.8675,1
37,0,96174,22.5591116,15.1891364,13.4932518,0.82662674,1.59606547,0.19235968,6.14511198,76.1141265,49.928255,57.6091421,147.8,62.5,16024.46,3288507,12.8,3.54539665,15.8,5.12720669,9.10997648,11.8,No,11.3016368,20.1140456,4.51932968,18.1733566,33.9,29.3,60.9673601,64.91,14.98571429,1
