Total cases (4/14/2020),Deaths (4/14/2020),Population (for demographic %'s),% less than 18 years of age,% 65 and over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Female,% Rural,Population Density per Square mile of Land (2010),Housing Density Per Square Mile of Land,Avg Daily March 2011 Sunlight (KJ/m?) Missing HI and AK,GDP 2018,"Percentage Living in Poverty, All Ages, 2016",% Unemployed,% Children in Poverty,Income Inequality Ratio (80th%/20th%),Social Association Rate,Air pollution: Average Daily PM2.5,Presence of Drinking Water Violation,% Severe Housing Problems,% Fair or Poor Health,Average Number of Physically Unhealthy Days,% Smokers (adults),% Adults with Obesity,% Physically Inactive,% With Access to Exercise Opportunities,Chronic Respiratory Disease: mortality rate per 100K (2014),Avg Temp 10 Before First-Current,Stay At Home Order After First Case
64,1,28248,21.973237,13.317757,56.6553384,0.50269046,0.55579156,0.0212,7.48371566,34.2572926,42.4348627,44.607162,30.4,10.9,17197.13,656888,34.8,5.54392153,41.2,6.04135649,7.39180249,9.9,No,18.960594,30.5822356,5.40005646,24.5096455,41.2,36.7,29.3675396,62.03,18.13243243,1
12,0,25339,18.3708907,14.8190536,2.84936264,0.32755831,2.28106871,0.0671,2.56521568,90.1377324,51.8765539,37.8529308,45.1,19.9,13741.15,767444,23.8,3.51386807,19.9,6.50485213,11.8217283,9.5,No,17.9704017,21.4014998,4.80863306,20.5288432,27.9,31.7,78.3184286,76.12,8.56,1
1,0,17607,22.9113421,18.4756063,1.03367979,0.39188959,0.59635372,0.0341,2.64667462,94.1443744,50.3265747,61.2804349,40,16.9,12672.66,296886,9.7,2.66391327,11.4,4.24649315,7.97493592,9.9,No,10.9729334,16.3365822,4.11581242,18.2337232,31.9,21.6,64.3224799,65.8,9.792857143,0
2,0,5171,20.0541481,25.4302843,0.44478824,0.406111,0.27074067,0.058,1.27634887,96.4997099,50.2610714,100,10.4,5.5,12741.9,283842,12.8,2.49007579,16,3.86645517,28.436019,9.2,No,8.61723447,17.3960075,4.16793455,17.9247064,39,23.8,76.4819701,70.82,9.38,1
0,0,25473,22.8752012,17.8699015,6.85824206,0.56923017,0.51427001,0.0942,3.06206572,87.3552389,54.1200487,41.1962866,36.9,15.7,13316.84,936372,17,3.09144761,25.6,3.54312406,10.9200109,10,No,10.1026472,19.3992564,4.61466411,20.6655446,35.1,31.6,72.9484116,95.98,,0
2,0,35886,22.685727,20.5874157,0.45421613,1.32363596,2.14011035,0.17555593,9.98996823,84.9077635,49.4315332,73.264601,45.7,22.5,13966.9,1310883,21.4,2.96947152,26.9,4.19867897,14.5788943,9.8,No,13.6981132,21.362588,4.71740066,21.5144339,38.1,28,49.0855971,63.59,12.29642857,1
0,0,11798,23.3175114,20.5373792,0.63570097,1.45787422,0.55941685,0.0593,2.72927615,92.5072046,50.7797932,63.9574262,21,9.5,13126.76,359400,16.1,3.08820691,23.9,4.79928202,11.814346,9.3,No,11.7107943,20.8514286,4.73603205,20.3953208,25.9,30.2,34.8250282,57.28,,0
6,1,16320,23.314951,19.3872549,1.12745098,0.82107843,0.23897059,0.049,2.15073529,94.1237745,50.557598,77.2713942,20.4,9.4,13141.05,401456,13.8,3.80653266,20.3,4.1677513,11.6321783,9.4,No,10.7331822,19.5092952,4.39753851,19.9353647,36.5,27.4,36.6707725,70.24,11.20294118,1
3,0,19278,17.2632016,30.8071377,0.51353875,0.79365079,0.44610437,0.0622,2.07490404,94.6208113,49.8755058,86.5396725,27.1,20.1,13394.4,350835,17.9,4.52190956,33.7,4.34573535,14.1553948,9.4,No,15.3136531,20.3259506,4.74141204,19.5004353,33.5,31.6,31.1083123,78.66,11.78666667,1
3,0,12169,21.1849782,20.5604405,0.55057934,0.7971074,0.23831046,0.0247,1.38877476,95.9240694,49.7082751,100,20,9.5,13396.71,187918,17.4,3.60130957,21.9,4.30360429,7.31350561,10.5,No,12.7991675,20.7067867,4.85546677,20.6704198,32.4,32.6,26.1020788,73.49,11.22,1
87,1,180005,20.3133246,12.2541041,9.51362462,0.43943224,5.33262965,0.0911,3.53101303,78.3189356,51.5307908,18.7860454,237.3,101.5,13345.51,8140223,16.6,2.27155714,13.2,4.94139947,11.5554409,10.1,No,17.1298003,16.6898285,4.20888834,18.5209992,26,22.8,82.7215602,52.75,10.08205128,1
22,1,88571,22.5051089,16.1170135,5.66664032,0.73500356,1.61791105,0.41887299,6.88600106,82.610561,49.5263687,13.3720474,218.6,94.2,12663.36,4291237,17.8,2.95938972,22.4,4.32332542,12.4628081,10.2,No,14.7614762,21.1280931,4.73053923,21.8268767,38.3,32.2,82.6504187,95.68,9.579310345,1
16,0,42639,23.4808509,18.8114168,5.44571871,0.73641502,0.79270152,0.0352,2.20689979,88.5292807,51.4177162,52.182549,61.6,28.4,13691.09,1375966,22,4.5788051,30.2,5.11410154,10.0782825,10.8,No,13.210954,23.1784535,5.20232073,22.404305,37.5,39.7,68.5189513,84.83,13.39583333,1
1,0,9108,23.7703118,19.7848046,0.61484409,0.72463768,0.31840141,0.0439,2.12999561,94.400527,49.2753623,100,22.1,10.8,12837.26,228120,12.7,3.13351499,19.6,4.28464017,14.2857143,9.3,No,14.0374332,19.5602838,4.53379439,20.4741051,32.7,29,45.0551783,75.05,9.654166667,1
21,1,44889,20.9427699,16.2712469,4.37078126,0.57029562,0.79752278,0.0557,2.20098465,90.0799751,48.8761166,62.0274294,53.1,22.2,13209.26,1617194,11.6,2.93071561,17.5,3.82085215,9.54876532,10,No,11.9538077,18.0574665,4.1473763,18.1710428,37.2,28,67.9982857,71.18,10.14848485,1
26,1,45815,17.7038088,28.1676307,0.67881698,0.66135545,0.650442,0.0589,2.88115246,93.9692241,50.2521008,74.2284442,67.1,62.8,13313.54,1319233,16.8,4.2146625,22.9,4.41737251,12.4912342,9.8,No,13.5448444,17.5891491,4.40495829,17.6502198,23.3,27.4,69.1627653,57.47,10.14848485,1
30,1,78753,21.3020456,16.8615799,7.614948,0.36697015,1.8411997,0.0508,2.37324292,85.8341904,51.5053395,30.5032111,130.8,56.4,13532.65,3644297,15.2,2.75444911,17.2,4.55120078,13.5617507,11.3,No,13.2919879,19.1576479,4.53368584,18.286987,31.9,29,75.884716,59.79,12.08709677,1
0,0,8743,23.047009,21.8002974,1.70422052,0.29738076,0.18300355,0.13725266,1.56696786,94.658584,51.4239963,64.5400753,13.4,6.7,13089.82,295657,16.6,3.13901345,20.8,5.13234783,18.1900864,9.3,No,10.6612686,19.3125098,4.55070396,19.8572642,37.6,28,47.9935449,58.78,,0
4,1,6054,23.4555666,19.9372316,0.29732408,1.25536835,0.13214404,0.0165,2.75850677,93.8553023,51.6683185,100,12.3,6.4,13156.71,119057,21.2,5.13330681,35.3,4.61887625,9.7260496,9.7,No,14.9193548,20.3348703,4.69601672,20.8228005,27.8,36.9,76.5363129,100.72,12.76333333,1
45,4,104954,24.1715418,16.8569087,4.12085295,0.70983479,0.87085771,0.11243021,4.55056501,87.5621701,51.2538827,32.4021392,142.8,57.4,13232.74,2538540,8.7,3.0522561,10.8,3.73075837,9.54456057,9.9,No,11.4075437,16.9180231,3.88304842,16.8590627,36.6,26,69.26054,69.15,11.15897436,1
8,0,14165,24.0804801,23.3533357,0.3388634,0.88245676,0.43769855,0.0353,2.42146135,94.4793505,50.0529474,75.2968102,29.5,15.2,13130.59,264220,19.8,3.44403444,30.2,3.87808028,11.3692887,9.1,No,10.3653356,21.5544881,5.01706692,22.5192503,33.8,29.8,57.5883279,69.82,11.85769231,1
4,0,7451,22.7888874,23.6478325,2.37552006,0.42947255,0.3086834,0,0.99315528,94.7523822,50.355657,100,10.4,5.5,13147.17,221358,13.3,2.79255319,19.3,4.76376099,16.0427808,9.4,No,9.9827883,19.4632938,4.49235836,19.4292297,29.4,28.8,33.5078534,55.95,9.189655172,1
19,0,86983,25.2750538,15.7168642,0.76451721,0.76566685,0.73577596,0.0598,3.02013037,93.0687606,50.949036,44.7960528,137.6,56.1,13830.33,1397263,10.7,2.57685871,11.5,3.66490583,8.89596404,9.9,No,10.3837847,17.7546691,4.23841998,18.5155986,31.4,24.9,67.3464907,56.78,11.11621622,1
1,0,6842,22.8734288,20.7980123,0.40923707,0.24846536,0.45308389,0.0146,0.96463023,96.6530254,48.9184449,100,14.1,6.9,14266.25,144655,15.5,3.85942893,23.2,4.00923206,14.8743121,10.1,No,8.994709,18.4838158,4.52413032,20.1257492,29.6,28.7,44.151842,87.19,9.423809524,1
51,2,246365,24.0805309,14.1136119,6.6523248,0.64700749,2.47762466,0.37099426,6.97136363,80.6729852,50.8923751,9.81576019,558.6,236.4,12866.7,10039988,8.4,2.8939312,8.7,3.6953173,9.92284065,10,No,10.2387148,16.0466117,3.95077838,15.8950928,33.3,23.7,90.9204782,66.37,9.9375,1
11,0,20470,23.4880313,18.0898876,1.29457743,0.70835369,0.4543234,0.0635,2.31069858,93.5710796,49.7020029,76.2088415,49.5,21.2,12798.19,353171,10.4,3.15149281,12.9,3.95643996,9.24394279,9.7,No,11.0221675,16.2098754,4.13924995,18.4600777,33.2,34.5,53.921805,101.23,9.9375,1
38,1,76796,22.2745976,16.5815928,12.1503724,0.39064535,1.37246732,0.0677,2.94286161,81.3544976,49.483046,29.0748783,193,82.1,13146,4238180,10.9,2.50071935,12,3.88635271,23.7263388,10,No,9.99662846,16.929258,4.09858201,18.1544757,35.6,20.7,77.5220424,66.8,10.08205128,1
4,0,17603,21.3713572,17.9230813,6.98744532,0.60217009,0.62489348,0.0682,2.0962336,87.7861728,47.7589047,53.2015226,31.2,13.2,13521.96,461225,14.7,3.09806035,20.7,3.99991181,11.3352981,9.7,No,11.2977099,18.1038258,4.31453031,19.3478656,34.1,25.8,58.9796034,57.89,10.43548387,1
5,0,23957,22.6489126,19.6643987,0.52594231,0.69708227,0.30471261,0.0918,2.03280878,95.0745085,50.3986309,73.3074182,33.3,16.1,12969.18,575031,18.6,3.92355982,24.1,4.70965013,12.0321965,9.8,No,15.6081808,23.2236729,5.06340129,22.919949,40.3,30.3,61.3014253,57.84,11.26,1
0,0,7569,20.5839609,23.649095,0.46241247,0.97767208,0.51525961,0.0396,2.1006738,93.5262254,48.9232395,100,16.1,8.1,13348.87,174567,17.5,2.71252796,25.2,3.97465946,15.8144439,9.2,No,12.9032258,21.4143007,5.00702282,21.3174664,34.1,28.4,13.4086008,67.51,,0
2,0,16762,23.6188999,20.2720439,0.32215726,0.93067653,0.28039613,0.0716,2.20140795,94.5173607,50.1014199,81.9335996,31,14.2,13306.37,263392,18.6,3.91903531,25.5,4.12453248,4.19840461,9.4,No,15.4471545,19.6627112,4.64568446,20.4100619,32.9,28.9,5.7698039,73.33,12.51578947,1
0,0,8313,25.454108,20.4378684,0.62552628,0.48117407,0.26464574,0.0842,1.59990377,95.6694334,49.5609287,100,15,7.5,12933.55,182591,16.9,3.01383399,26,3.68152811,7.1761751,9.4,No,12.6644737,18.4423645,4.39107991,20.3743498,45.4,30.4,31.7561959,75.37,,0
3,0,12630,17.2050673,16.6429137,11.5597783,0.54631829,0.38796516,0.11084719,2.84243864,83.6896279,37.4109264,62.4030406,30.6,10.3,12702.7,313421,15.7,3.14764962,13.7,4.59829268,8.73848109,9.6,No,8.87417219,18.1047203,4.25532807,20.3700003,36.9,33.9,64.9937946,79.54,10.01666667,1
0,0,15441,22.4143514,21.7537724,0.56991128,1.13334629,0.783628,0.0583,1.77449647,94.1195518,50.1910498,68.5699687,20.8,9.7,13003.38,303430,19.8,3.306985,31.6,4.86827877,10.3359173,9.4,No,11.9694397,21.9530124,4.88024042,22.088573,22.2,28,62.8983841,77.44,,0
0,0,13373,21.827563,24.3326105,0.38884319,0.85246392,0.32154341,0.00748,1.77222762,94.6982726,49.9588724,79.1216019,16.8,8,13513.01,599286,19.8,4.57177081,29.5,4.28266062,9.77443609,9.5,No,15.6555773,21.4130207,4.96635244,22.186457,30.6,30.3,38.5632856,78.76,,0
16,0,29423,25.578629,18.7200489,10.1757129,0.48261564,0.61856371,0.0204,6.96733848,80.1379873,52.1632736,50.4553563,59.1,26.6,14191.17,735316,27.2,5.50322261,38.1,5.18784244,15.9367841,11.3,No,15.4179811,30.3539899,6.31862856,25.7673533,41.1,43.8,68.200169,113.95,12.36666667,1
87,4,103670,22.979647,17.3608566,0.95109482,0.40513167,0.53728176,0.0666,1.80765892,95.0024115,50.3038488,55.5984708,110,47.1,12954.17,4003073,10.7,3.06768413,13.2,3.89889993,14.5165973,10.7,No,12.1532529,17.5477928,4.26735559,18.658497,33.3,32.6,74.710322,65.06,10.78333333,1
2,0,14705,20.5984359,22.7405644,0.53043183,0.32641959,0.47602856,0.034,1.50289017,95.9469568,50.0850051,80.8697937,29.4,15.8,12992.16,401043,12.1,2.90247678,17.4,4.07102152,15.6186337,9.9,No,12.3987034,17.4940229,4.26135347,18.4520251,31.1,27.3,46.8072527,58.75,11.6125,1
1,0,6628,24.7435124,19.8702474,0.57332529,0.42245021,0.52806276,0,1.70488835,95.6849728,51.7501509,100,13.7,6.5,12757.32,231416,14.6,2.42745536,19.6,4.3554565,18.0045011,9.3,No,8.97196262,18.4088107,4.37618231,18.9935196,29.1,29.5,62.0362125,78.08,10.505,1
80,8,291923,20.8811913,16.4718094,3.2762064,0.77451931,2.25881482,0.12366275,3.85204318,87.2579413,51.4067066,13.9976887,407.5,185.7,13548.17,15023186,16.5,2.55013401,16.5,4.55293283,12.0770863,10.1,No,15.0579151,17.4033142,4.44071646,19.5064008,32.8,24,83.1735556,62.31,10.7,1
0,0,9914,23.9761953,21.5856365,0.95824087,0.51442405,0.99858786,0.0403,2.58220698,93.766391,51.3415372,45.4634051,23.6,11.5,13292.85,454537,17.1,3.61552028,25.8,4.58976046,19.0973967,9.3,No,16.1528977,19.4293525,4.57137129,19.8574535,33.8,28.7,59.2729753,64.6,,0
6,0,8414,24.1739957,22.4625624,0.57047778,0.61801759,0.39220347,0.11884954,2.38887568,94.9370098,50.6180176,70.3918723,12.4,6.1,13196.42,275583,18.1,3.08254963,22.5,4.10454693,11.7315814,9.2,No,14.7838215,20.3275745,4.73312945,20.914508,31.7,35.4,22.6080161,66.68,9.352,1
5,1,21792,22.0034875,21.7419236,1.25734214,0.73421439,0.39464024,0.0918,2.63399413,93.3048825,50.9407122,49.5465158,32,15.6,13299.35,685543,20.7,3.56304237,23.9,4.16511278,14.2738742,9.3,No,12.1549894,19.7492836,4.64164998,20.60382,31.3,29.7,44.8994253,72.57,10.95238095,1
0,0,9509,17.1732043,32.7794721,0.59943212,1.12524976,0.19981071,0.10516353,1.85087812,94.4368493,50.5731412,100,24.1,17.1,13234.7,127499,19.3,4.12102243,34.5,4.14234495,8.44327177,9.2,No,14.0151515,21.858621,4.92261107,20.4170936,32.6,28.5,32.107614,65.96,,0
0,0,4404,20.7311535,25.1135332,0.31789283,1.15803815,0.36330609,0.0227,1.33969119,95.640327,51.0899183,100,10.6,6.1,12677.05,172856,14.1,2.3827534,19.7,4.08194786,18.1282574,9.6,No,10.4265403,18.5963516,4.4708169,18.6509246,29.3,31.3,62.3982085,71.63,,0
2,0,10137,21.6928085,19.2660551,4.89296636,0.76945842,0.36499951,0.0986,1.57837625,90.3620401,50.0443918,64.057571,21.9,9.9,13337.96,226353,15.9,2.83531068,18.2,3.83078028,10.8491962,9.5,No,11.037234,19.2402067,4.58302692,19.6286555,33.7,25.2,36.4747634,51.62,12.25555556,0
4,0,40076,23.8047709,19.8422996,0.51402336,0.76354926,0.75855874,0.0649,2.22826629,94.056293,51.3424494,72.1732673,43.6,19.4,13596.96,1121522,20.5,3.57296864,30.6,4.85702389,12.7172531,9.9,No,16.3120567,21.9617294,5.3232803,21.8954589,37,31.8,64.5891089,76.99,13.36521739,1
1,0,10177,20.9393731,21.3913727,1.46408568,0.74678196,0.14739118,0,1.74904196,94.2713963,50.1916085,74.8541863,19.3,9.7,13219.35,424616,22.4,5.38939052,29.8,4.38086113,10.7568942,9.8,No,12.5925926,21.6545912,4.98229711,22.00097,25.9,26.8,79.2380056,113.66,11.55,0
237,9,700307,23.5580967,14.9441602,23.2660819,0.60187889,1.94314779,0.30272438,9.10572078,62.2979636,51.6282145,3.83693437,1115.3,516.3,13092.87,42122646,15.5,3.7334846,19,4.72380433,11.3464827,10.4,No,16.2828918,16.7664313,4.1710503,20.0515869,32.1,22.8,91.5088154,62.42,10.05526316,1
27,0,120636,24.9734739,15.6362943,2.04333698,1.83775987,1.27739647,0.51394277,8.26784708,83.8083159,51.1563712,23.6916971,183.9,79.4,13325.12,5292144,17.5,2.74618536,22.7,4.16717325,13.2260828,10,No,13.535972,18.971498,4.52617104,19.1765551,38.8,27,74.5460121,81.01,11.50571429,1
139,3,224347,23.1596589,14.9928459,1.11300797,0.3476757,0.78494475,0.0348,2.03791448,94.2566649,50.3581505,30.1961753,333.1,133.4,13015.56,4756553,10.1,3.11531842,10.4,3.59969946,7.37232474,11.3,No,11.3959422,18.5938427,4.33143318,18.8276909,32.7,22.6,67.505589,79.17,11.15625,1
45,0,53652,21.315142,12.6556326,4.71184672,0.63930515,1.78930888,0.33176769,4.51800492,85.6538433,48.5983747,50.4439586,63.4,26,13370.1,1569223,14.4,3.70549238,13.9,3.90168802,9.64803236,9.4,No,14.4971156,17.7717722,4.2498314,20.0021529,33.6,27.9,49.2917578,64.67,11.20294118,1
346,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1459.9,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.944444444,1
0,0,3947,23.2328351,22.067393,0.53204966,0.43070687,0.35469977,0,1.11477071,96.3263238,49.9873322,100,8.2,4.5,13721.62,118291,18.9,2.80957336,27.5,4.53713872,12.5722907,9.5,No,13.5951662,20.3803184,4.68878729,19.3814061,35.1,40.9,13.701283,76.87,,0
0,0,35713,24.7164898,17.8450424,0.86803125,0.75882732,0.65242349,0.0868,2.50329012,93.3749615,50.8526307,60.5127773,46.5,20.6,13241.34,1038697,15.7,3.6937742,22.2,3.90082808,11.2857264,9.5,No,16.6666667,20.4989465,4.65147517,21.8733658,31.3,30.2,53.079756,75.47,,0
28,1,32598,22.918584,18.8661881,2.05534082,0.65648199,0.50616602,0.18712805,2.88361249,91.9626971,50.3987975,56.9485636,53.1,23.4,13216.21,746666,12.7,3.20758048,14.6,4.16160906,15.6245213,9.5,No,12.1804511,17.3386097,4.12963658,18.6672914,32.2,30.1,48.0962224,68.3,11.13030303,1
0,0,38359,25.2013869,18.295576,0.45621627,1.15227196,0.55267343,0.10167106,7.66704033,88.8318257,50.3662765,58.6866491,63.2,27.2,13706.34,821750,14.9,3.04972376,23.5,4.11667807,14.5704324,9.7,No,12.8301887,20.3910693,4.69615864,21.1251145,32.9,27.9,53.2018429,72.53,,0
0,0,9855,22.049721,18.4880771,3.0644343,0.49720954,0.45662101,0.0812,1.83663115,92.4809741,49.7716895,100,20.2,9,14032.35,227307,16.9,2.84369484,21.5,4.19043461,12.0397311,10.3,No,9.9868594,18.8999295,4.43766666,19.6194688,33.4,23.1,17.2167271,59.35,,0
33,1,57686,25.4099782,13.417467,1.91727629,0.40564435,0.55992789,0.0572,2.5621468,92.9688313,50,74.8297379,83.9,33.5,13350.65,1031761,11.2,3.30324844,15.3,4.17645235,6.58562199,10.9,No,14.0646212,17.9266565,4.24548483,20.6029638,36.7,27.3,35.2357037,59.69,11.61,1
5,1,12037,23.5440724,21.1265265,0.83077179,0.33230872,0.30738556,0.0582,2.54216167,94.7162914,51.2503115,66.4524724,20.7,10.4,13230.76,402930,16.1,4.69511007,25.7,4.0959397,13.1212072,9.3,No,9.01722391,20.5455782,4.72365649,20.4467912,33.3,28.7,66.4054541,77.09,10.25263158,1
2,0,15146,20.9164136,19.2460056,3.71055064,0.50178265,0.72626436,0.0198,1.90149214,91.9318632,56.4967648,36.6041461,28.5,12.6,13039.99,570965,17.6,2.49333333,20.7,4.19585781,12.5222435,9.3,No,10.0261552,18.4878588,4.57689248,19.7538371,42.3,27.6,74.4587035,71.19,9.046153846,1
4,0,15153,22.8997558,22.7479707,2.38236653,0.38936184,0.45535538,0.066,1.6102422,93.5260345,50.4718538,67.7887704,19.4,9.6,13812.69,556802,16.3,2.9369534,21.8,3.5446458,13.1138942,9.5,No,8.94175554,19.6431812,4.45330517,19.6334503,34.5,29.3,54.6447385,62.42,9.026923077,1
3,0,12188,23.1375123,19.1171644,0.54972104,0.54151625,1.00098458,0.0492,2.40400394,94.5602232,51.0912373,65.5079339,24.7,12.1,13376.49,530496,18,3.55051245,24.5,4.48967058,12.251899,10,No,11.7395945,21.6464987,4.95150625,21.7678679,35.4,28.7,84.0340259,83.02,12.56842105,1
1,0,8769,20.2987798,21.4733721,0.65001711,0.78686281,0.41053712,0.0228,1.23161136,95.2902269,49.8118372,100,17.4,8.7,13286.78,266746,15.2,3.30407847,19.7,4.16263852,15.7888801,9.6,No,14.2857143,18.8886939,4.60962726,19.8907019,35.7,35.5,20.5209242,61.16,11.38148148,1
2,0,28592,23.2547566,18.074986,4.66913822,0.24482373,0.74846111,0.0909,1.85016788,90.2070509,51.3010632,24.7663389,65.9,29.4,12965.02,139712,14.5,3.09342561,19,4.37486039,18.8586995,10.4,No,10.0575986,19.6545516,4.76892031,20.395535,36,28.2,76.293388,79.57,,0
0,0,23078,25.7864633,15.2829535,2.04523789,3.10685501,1.49926337,2.53488171,11.6561227,76.9910738,49.5320218,99.9913356,42.8,18.4,13533.59,1053998,21.4,3.03607119,26.2,4.04786206,7.44699492,9.7,No,17.8420735,23.1938726,4.967902,23.0423737,30,20.1,52.4195295,81.86,11.68064516,1
0,0,3641,23.8121395,22.0543807,0.41197473,0.54929964,0.82394946,0.0275,2.47184839,94.4520736,49.162318,100,8.3,4.7,13569.78,109836,13.6,3.14136126,19.6,4.44630453,13.5943448,9.1,No,10.877193,19.8188921,4.64292361,20.1363676,24.1,26.3,26.3936592,60.68,,0
0,0,25336,23.3580676,19.2532365,0.64335333,0.63940638,0.42232397,0.20524155,1.96952952,94.6992422,50.0907799,79.7801843,41.8,21.5,13068.53,888047,16.3,3.65752972,24.8,4.15792939,9.11685429,9.8,No,12.7523911,20.9697592,4.71946454,20.2777838,38.9,26,55.9156296,74.48,,0
0,0,13336,21.0257948,17.7864427,24.4676065,0.39742052,0.29994001,0.015,2.24955009,71.4007199,45.8683263,32.6995403,34.9,13.9,13522.91,367791,28.4,3.82347987,35.3,4.97067591,9.56867364,11.4,No,18.2439024,30.6421886,5.64913098,27.050968,38.2,36.6,52.0337094,77.75,,0
4,0,16121,24.3967496,15.7744557,3.96997705,0.40320079,0.42801315,0.0682,4.83840953,89.2066249,46.8581354,52.7007112,37.6,14.9,13303.74,425073,11.6,2.99044718,15.3,3.93500775,14.9411692,9.7,No,7.55919854,16.8019428,4.18243805,18.5745346,42.2,29.5,38.3353623,69.29,10.14848485,1
0,0,8664,21.8721145,23.3494922,2.64312096,0.60018467,0.41551247,0.0231,1.68513389,92.7285319,49.3536473,100,13.6,7.4,13324.45,271330,15.4,3.56060606,22.5,3.72657752,12.7728751,9.7,No,10.070922,18.1891574,4.39080247,18.0639326,30.8,31.2,46.4479638,64.43,,0
6,0,11534,21.9351483,21.1721866,1.66464366,0.28611063,0.55488122,0.0347,2.00277441,93.8616265,49.8439397,78.5142203,22.8,11.4,13223.03,315741,15.6,2.88073072,21.5,3.90146361,13.1141808,10,No,15.3846154,20.1326755,4.71048252,20.7308415,27.4,28.4,39.0323635,78.12,10.43548387,1
1,0,20358,22.8755281,23.4404165,0.79084389,0.84487671,0.48629531,0.0442,2.3872679,94.017094,49.9066706,100,34.4,26,13422.28,453177,19.6,4.26683449,26,4.91329739,12.4100273,9.6,No,16.1065314,21.8116734,4.91018094,21.781675,35.1,24.7,41.1670314,72.17,10.99230769,1
8,0,17296,23.172988,19.1547179,15.6105458,0.27752081,0.38159112,0.0578,1.98889917,79.8623959,51.9715541,56.8632623,28.1,12.6,13675.62,1116867,25,4.77255779,26.6,5.23167016,13.0815607,11.3,No,13.4154689,26.2723927,5.59259785,25.2281602,35.8,38.6,42.5195189,86.36,13.26956522,1
9,0,58266,23.6776165,18.1117633,0.91820273,2.59156283,1.51031476,1.0537878,5.60361103,85.6743212,50.1235712,64.4371408,93,38.9,13631.12,1720273,14.3,3.01483549,22.5,3.85597015,11.6658089,10,No,11.8047673,19.4234009,4.45621522,20.1383502,29,27.8,54.1934818,66.79,11.68064516,1
3,0,22304,15.858142,15.2618364,2.94117647,0.39903156,1.47507174,0.0179,1.76649928,92.4811693,49.5875179,43.4317501,26.6,10.9,12851.21,730282,17,2.92957747,13.8,5.00526681,9.34496262,9.4,No,15.1801536,19.2095696,4.66927198,20.1042477,35.1,25.2,75.8237056,61.06,10.46363636,1
1,0,10541,22.5595295,23.3184707,0.4174177,1.47044872,0.33203681,0.0854,1.77402524,93.9569301,50.8585523,80.5348773,13.8,6.9,13512.96,207913,24.9,3.45528455,37.7,4.79373268,4.73574541,9.7,No,15.437788,22.4579566,4.97924108,21.6316212,30.6,34.6,51.2912416,63.53,13.58888889,0
4,0,13714,23.1223567,17.4274464,0.36459093,0.3937582,0.21875456,0.0802,0.96981187,97.2728599,48.4760099,100,23,10.8,13105.86,401744,8.6,2.4156661,10.1,3.35376532,8.05152979,9.8,No,4.6580773,15.471905,3.96371528,17.4478012,29.2,32.8,33.0811356,55.6,11.20769231,1
0,0,9017,18.775646,28.8344239,0.19962293,1.07574581,0.18853277,0,1.73006543,95.1979594,49.8391926,100,13.1,7.6,13739.56,148828,25.3,5.17191563,33.2,4.80606899,9.79751796,9.4,No,15.5920281,23.6831923,5.2294175,22.3793739,24.1,29.9,39.3911344,68.89,,0
8,0,16272,25.7067355,17.090708,25.7313176,0.49778761,0.46091445,0.0737,2.70403147,68.8176008,52.7531957,49.2675995,37.1,16.6,13981.74,423612,30.9,5.54418019,44.5,5.11757558,13.6693213,11,No,15.4899136,28.1933631,5.63855498,25.0155029,36.3,41.5,53.503498,82.6,11.8625,1
38,0,19150,23.3420366,18.1305483,0.60574413,0.57963447,0.59007833,0.11488251,2.44908616,95.0652742,50.0417755,55.6217384,40,18.1,13590.41,864963,10.3,2.3395262,14.9,3.73737212,13.5240572,10.8,No,9.00537634,17.6311203,4.27310085,19.178803,37.4,27,37.0091192,53.4,10.6030303,1
4,0,42542,24.6015702,16.7434535,3.02994688,0.76865216,0.87678059,0.32673593,8.96290725,84.5000235,50.3619952,37.7787256,61.9,26.7,13482.92,1539823,15.2,4.13689902,23.3,4.02574882,10.5738052,9.5,No,14.2767885,22.281005,4.76987704,21.5526395,37,28.1,67.4936613,68.44,12.01724138,1
1,0,44732,20.8441384,16.4356613,2.11928821,0.84056157,3.90548153,0.0961,2.62004829,88.6188858,47.7912904,46.2242006,67.2,29.1,12969.68,1495213,19.6,3.08208728,21.8,5.81149824,12.7391382,9.7,No,14.7565321,20.4431154,4.59642651,20.2875632,35.1,28.2,80.4920719,69.07,12.78,1
6,0,18504,22.0060528,17.358409,7.77669693,0.23778643,0.30804151,0.0216,2.32922611,87.8837008,44.525508,54.3799957,27.6,11.7,13463.77,481033,18,3.60959083,20.5,3.78618823,13.4647493,10.4,No,9.99248685,20.4514545,4.54590263,21.1831108,37.2,29.6,45.9980557,80.72,8.880769231,1
26,0,102985,23.7908433,14.5351265,7.12142545,0.56124678,2.94120503,0.49327572,6.18439579,80.6903918,50.7112686,15.8079756,212.6,93.3,12799.59,5965298,6.1,2.56348163,7.4,3.89027573,9.68503859,10.2,No,11.7108753,14.1014066,3.77080817,17.9884139,30,23.5,85.9071673,60.45,9.9375,1
